n,sigma_r,sigma_t,p,q,rep_no,dq_mean_rerr,dq_min_rerr,dq_max_rerr,dq_mean_terr,dq_min_terr,dq_max_terr,mat_mean_rerr,mat_min_rerr,mat_max_rerr,mat_mean_terr,mat_min_terr,mat_max_terr,gpm_mat_mean_rerr,gpm_mat_min_rerr,gpm_mat_max_rerr,gpm_mat_mean_terr,gpm_mat_min_terr,gpm_mat_max_terr
100,0,0,0.2,0.5,0,1.3368330952899135,0.17071045911054525,4.7150922917907225,0.8151156076864534,0.20616901927773615,2.7134527683134912,3.4740132836974798e-09,0.0,8.429369702178807e-08,1.0564456205182866e-13,4.781053997179202e-15,9.378391760971355e-12,2.9802322387695314e-09,0.0,5.960464477539063e-08,1.5460129174222084,0.15583457867403067,3.4635097940549686
100,0,0,0.2,0.5,1,1.3368330952899135,0.17071045911054525,4.7150922917907225,0.8151156076864534,0.20616901927773615,2.7134527683134912,1.7881393432617187e-09,0.0,5.960464477539063e-08,7.478841313177507e-14,4.002966042486721e-16,3.787386162937477e-12,2.9802322387695314e-09,0.0,5.960464477539063e-08,1.5460129174222084,0.15583457867403067,3.4635097940549686
100,0,0,0.2,0.5,2,1.3368330952899135,0.17071045911054525,4.7150922917907225,0.8151156076864534,0.20616901927773615,2.7134527683134912,1.7881393432617187e-09,0.0,5.960464477539063e-08,5.22005964961497e-14,3.920720672576634e-15,3.152859594714511e-12,2.9802322387695314e-09,0.0,5.960464477539063e-08,1.5460129174222084,0.15583457867403067,3.4635097940549686
100,0,0,0.2,0.5,3,1.3368330952899135,0.17071045911054525,4.7150922917907225,0.8151156076864534,0.20616901927773615,2.7134527683134912,3.5762786865234374e-09,0.0,5.960464477539063e-08,2.446813915507334e-13,1.7487532519980704e-14,2.1400502476969328e-11,2.9802322387695314e-09,0.0,5.960464477539063e-08,1.5460129174222084,0.15583457867403067,3.4635097940549686
100,0,0,0.2,0.5,4,1.3368330952899135,0.17071045911054525,4.7150922917907225,0.8151156076864534,0.20616901927773615,2.7134527683134912,5.858199074713105e-09,0.0,8.429369702178807e-08,4.955048937279586e-12,1.232474164077288e-12,3.2679669049923244e-10,2.9802322387695314e-09,0.0,5.960464477539063e-08,1.5460129174222084,0.15583457867403067,3.4635097940549686
100,0,0,0.2,0.5,5,1.3368330952899135,0.17071045911054525,4.7150922917907225,0.8151156076864534,0.20616901927773615,2.7134527683134912,3.5762786865234374e-09,0.0,5.960464477539063e-08,1.0542192902322882e-13,7.354337211075899e-15,7.68503371641845e-12,2.9802322387695314e-09,0.0,5.960464477539063e-08,1.5460129174222084,0.15583457867403067,3.4635097940549686
100,0,0,0.2,0.5,6,1.3368330952899135,0.17071045911054525,4.7150922917907225,0.8151156076864534,0.20616901927773615,2.7134527683134912,4.172325134277344e-09,0.0,5.960464477539063e-08,4.672582078316682e-14,8.308148362110449e-16,1.3842275630712636e-12,2.9802322387695314e-09,0.0,5.960464477539063e-08,1.5460129174222084,0.15583457867403067,3.4635097940549686
100,0,0,0.2,0.5,7,1.3368330952899135,0.17071045911054525,4.7150922917907225,0.8151156076864534,0.20616901927773615,2.7134527683134912,4.419215656741318e-09,0.0,8.429369702178807e-08,4.878104451709711e-14,1.2609709600486848e-15,1.649882803738401e-12,2.9802322387695314e-09,0.0,5.960464477539063e-08,1.5460129174222084,0.15583457867403067,3.4635097940549686
100,0,0,0.2,0.5,8,1.3368330952899135,0.17071045911054525,4.7150922917907225,0.8151156076864534,0.20616901927773615,2.7134527683134912,2.384185791015625e-09,0.0,5.960464477539063e-08,2.885507653845151e-14,4.272916553455145e-16,1.12203214828297e-12,2.9802322387695314e-09,0.0,5.960464477539063e-08,1.5460129174222084,0.15583457867403067,3.4635097940549686
100,0,0,0.2,0.5,9,1.3368330952899135,0.17071045911054525,4.7150922917907225,0.8151156076864534,0.20616901927773615,2.7134527683134912,3.2271227612335056e-09,0.0,8.429369702178807e-08,6.323308196419492e-14,2.6035676795550248e-14,1.819406053686185e-12,2.9802322387695314e-09,0.0,5.960464477539063e-08,1.5460129174222084,0.15583457867403067,3.4635097940549686
